ID,name,status,timezone,inflow_n_common,inflow_max_abs_error,inflow_different_values,inflow_mask_disagreements,outflow_n_common,outflow_max_abs_error,outflow_different_values,outflow_mask_disagreements,exact_flow_replay,upstream_negative_inflow_days,upstream_missing_inflow_days,linear_fill_days,long_gap_partial_fill_days,gradient_removed_days
612,Isabella Lake,processed,America/Los_Angeles,9206.0,1.1368683772161603e-13,0.0,0.0,9344.0,2.2737367544323206e-13,0.0,0.0,True,0.0,4250.0,667.0,42.0,0.0
620,Lake Cachuma,processed,America/Los_Angeles,5461.0,5.684341886080802e-14,0.0,0.0,5448.0,2.842170943040401e-14,0.0,0.0,True,1167.0,92.0,1245.0,21.0,0.0
63,Rimrock,processed,America/Los_Angeles,14610.0,2.842170943040401e-14,0.0,0.0,14610.0,1.4210854715202004e-14,0.0,0.0,True,0.0,1.0,1.0,0.0,0.0
657,Elephant Butte Reservoir,processed,America/Denver,6316.0,1.4210854715202004e-14,0.0,0.0,14610.0,2.842170943040401e-14,0.0,0.0,True,230.0,8747.0,672.0,77.0,0.0
664,Caballo,processed,America/Denver,6179.0,2.842170943040401e-14,0.0,0.0,5922.0,1.4210854715202004e-14,0.0,0.0,True,240.0,8936.0,733.0,84.0,0.0
7308,Richard B. Russell Lake,processed,America/New_York,12814.0,2.2737367544323206e-13,0.0,0.0,12814.0,1.1368683772161603e-13,0.0,0.0,True,333.0,121.0,333.0,0.0,0.0
7311,Elk City Lake,processed,America/Chicago,13057.0,2.2737367544323206e-13,0.0,0.0,13057.0,5.684341886080802e-14,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
7313,Canyon Ferry Lake,processed,America/Denver,14245.0,1.1368683772161603e-13,0.0,0.0,14245.0,1.1368683772161603e-13,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
7318,Cordell Hull Lake,processed,America/Chicago,14551.0,2.2737367544323206e-13,0.0,0.0,14542.0,4.547473508864641e-13,0.0,0.0,True,2.0,28.0,14.0,7.0,0.0
753,Lake Sakakawea,processed,America/North_Dakota/Beulah,14610.0,9.094947017729282e-13,0.0,0.0,14610.0,4.547473508864641e-13,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
758,Winnibigoshish,processed,America/Chicago,7897.0,7.105427357601002e-15,0.0,0.0,14513.0,7.105427357601002e-15,0.0,0.0,True,0.0,6721.0,7.0,7.0,0.0
768,Pokegama Reservoir,processed,America/Chicago,13142.0,7.105427357601002e-15,0.0,0.0,14515.0,7.105427357601002e-15,0.0,0.0,True,0.0,1484.0,14.0,14.0,0.0
777,Pipestem Lake,processed,America/Chicago,9875.0,2.842170943040401e-14,0.0,0.0,10463.0,7.105427357601002e-15,0.0,0.0,True,1893.0,4665.0,1798.0,210.0,4.0
780,Jamestown,processed,America/Chicago,14135.0,5.684341886080802e-14,0.0,0.0,14610.0,7.105427357601002e-15,0.0,0.0,True,3481.0,388.0,3362.0,224.0,0.0
784,Edward Arthur Patterson,processed,America/Denver,13630.0,7.105427357601002e-15,0.0,0.0,14610.0,1.4210854715202004e-14,0.0,0.0,True,4440.0,366.0,3715.0,777.0,0.0
789,Sandy Lake Reservoir,processed,America/Chicago,8231.0,7.105427357601002e-15,0.0,0.0,14567.0,7.105427357601002e-15,0.0,0.0,True,0.0,6387.0,7.0,7.0,0.0
798,Lake Tschida,processed,America/Denver,14066.0,5.684341886080802e-14,0.0,0.0,14610.0,1.4210854715202004e-14,0.0,0.0,True,3563.0,368.0,3336.0,357.0,0.0
836,,processed,America/Chicago,12215.0,1.1368683772161603e-13,0.0,0.0,12242.0,1.4210854715202004e-14,0.0,0.0,True,4673.0,2332.0,4587.0,161.0,0.0
837,Shadehill,processed,America/Denver,13355.0,5.684341886080802e-14,0.0,0.0,14610.0,2.842170943040401e-14,0.0,0.0,True,3922.0,743.0,3325.0,595.0,0.0
854,Highway 75 Dam Reservoir,processed,America/Chicago,10899.0,5.684341886080802e-14,0.0,0.0,10906.0,2.842170943040401e-14,0.0,0.0,True,796.0,2316.0,761.0,63.0,0.0
868,Belle Fourche,processed,America/Denver,11283.0,7.105427357601002e-15,0.0,0.0,11782.0,3.552713678800501e-15,0.0,0.0,True,1659.0,3195.0,1496.0,217.0,0.0
870,Lake Oahe,processed,America/Chicago,14610.0,9.094947017729282e-13,0.0,0.0,14591.0,4.547473508864641e-13,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
872,Keyhole,processed,America/Denver,12843.0,1.4210854715202004e-14,0.0,0.0,14610.0,3.552713678800501e-15,0.0,0.0,True,5685.0,365.0,4135.0,1036.0,0.0
882,Pactola,processed,America/Denver,14253.0,3.552713678800501e-15,0.0,0.0,14610.0,1.7763568394002505e-15,0.0,0.0,True,37.0,365.0,44.0,7.0,0.0
884,Lake Sharpe,processed,America/Chicago,14610.0,4.547473508864641e-13,0.0,0.0,14396.0,9.094947017729282e-13,0.0,0.0,True,0.0,19.0,19.0,0.0,0.0
885,Deerfield,processed,America/Denver,14253.0,4.440892098500626e-16,0.0,0.0,14610.0,4.440892098500626e-16,0.0,0.0,True,56.0,365.0,63.0,7.0,0.0
893,Angostura,processed,America/Denver,14162.0,5.684341886080802e-14,0.0,0.0,14610.0,5.684341886080802e-14,0.0,0.0,True,2158.0,365.0,2050.0,175.0,0.0
895,Lewis and Clark Lake,processed,America/Chicago,14610.0,4.547473508864641e-13,0.0,0.0,14610.0,4.547473508864641e-13,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
898,Glendo,processed,America/Denver,14253.0,5.684341886080802e-14,0.0,0.0,14610.0,5.684341886080802e-14,0.0,0.0,True,2.0,365.0,9.0,7.0,0.0
919,Branched Oak Lake,processed,America/Chicago,14124.0,7.105427357601002e-15,0.0,0.0,9316.0,3.552713678800501e-15,0.0,0.0,True,0.0,2347.0,1812.0,343.0,0.0
920,,processed,America/Chicago,14402.0,7.105427357601002e-15,0.0,0.0,14610.0,1.4210854715202004e-14,0.0,0.0,True,0.0,216.0,7.0,7.0,0.0
929,,processed,America/Chicago,13274.0,2.842170943040401e-14,0.0,0.0,14610.0,2.842170943040401e-14,0.0,0.0,True,0.0,1344.0,7.0,7.0,0.0
931,,processed,America/Chicago,7884.0,8.881784197001252e-16,0.0,0.0,7884.0,1.7763568394002505e-15,0.0,0.0,True,40.0,6726.0,40.0,0.0,0.0
936,Enders,processed,America/Denver,12193.0,1.4210854715202004e-14,0.0,0.0,14234.0,1.7763568394002505e-15,0.0,0.0,True,2362.0,2273.0,2447.0,952.0,0.0
938,Harry Strunk Lake,processed,America/Chicago,14243.0,2.842170943040401e-14,0.0,0.0,14236.0,3.552713678800501e-15,0.0,0.0,True,664.0,107.0,766.0,21.0,0.0
939,Hugh Butler Lake,processed,America/Chicago,14002.0,2.842170943040401e-14,0.0,0.0,14236.0,1.7763568394002505e-15,0.0,0.0,True,2746.0,169.0,2629.0,301.0,0.0
948,Harlan County Lake,processed,America/Chicago,9333.0,1.1368683772161603e-13,0.0,0.0,11781.0,3.552713678800501e-15,0.0,0.0,True,2357.0,5348.0,2400.0,196.0,0.0
952,Lovewell,processed,America/Chicago,9565.0,2.842170943040401e-14,0.0,0.0,12145.0,7.105427357601002e-15,0.0,0.0,True,1296.0,5166.0,1406.0,77.0,0.0
953,Keith Sebelius Lake,processed,America/Chicago,13533.0,7.105427357601002e-15,0.0,0.0,14610.0,4.440892098500626e-16,0.0,0.0,True,5043.0,468.0,4289.0,1015.0,0.0
956,Kirwin,processed,America/Chicago,9239.0,7.275957614183426e-12,0.0,0.0,11976.0,3.552713678800501e-15,0.0,0.0,True,2200.0,6396.0,3239.0,315.0,59.0
957,Cherry Creek Lake,processed,America/Denver,14330.0,7.105427357601002e-15,0.0,0.0,11314.0,1.7763568394002505e-15,0.0,0.0,True,0.0,761.0,473.0,56.0,0.0
958,Bonny,processed,America/Denver,13525.0,1.4210854715202004e-14,0.0,0.0,14245.0,4.440892098500626e-16,0.0,0.0,True,4135.0,160.0,3471.0,728.0,0.0
969,Blue Springs Lake,processed,America/Chicago,9597.0,7.105427357601002e-15,0.0,0.0,11024.0,7.105427357601002e-15,0.0,0.0,True,0.0,5021.0,7.0,7.0,0.0
974,Longview Lake,processed,America/Chicago,10708.0,1.4210854715202004e-14,0.0,0.0,10700.0,3.552713678800501e-15,0.0,0.0,True,0.0,3910.0,7.0,7.0,0.0
976,Cedar Bluff,processed,America/Chicago,8831.0,1.4210854715202004e-14,0.0,0.0,11774.0,1.7763568394002505e-15,0.0,0.0,True,4398.0,5071.0,3953.0,714.0,0.0
982,Melvern Lake,processed,America/Chicago,12793.0,5.684341886080802e-14,0.0,0.0,12786.0,1.4210854715202004e-14,0.0,0.0,True,0.0,1825.0,7.0,7.0,0.0
987,Pueblo,processed,America/Denver,12518.0,2.842170943040401e-14,0.0,0.0,11641.0,5.684341886080802e-14,0.0,0.0,True,5.0,2121.0,33.0,7.0,0.0
989,Harry S. Truman Reservoir,processed,America/Chicago,12793.0,9.094947017729282e-13,0.0,0.0,12786.0,2.2737367544323206e-13,0.0,0.0,True,0.0,1825.0,7.0,7.0,0.0
993,Osage,processed,America/Chicago,7670.0,4.547473508864641e-13,0.0,0.0,7670.0,4.547473508864641e-13,0.0,0.0,True,0.0,6.0,6.0,0.0,0.0
