DAM_ID,STORAGE,STORAGE_START,STORAGE_END,DATA_SOURCE,INFLOW,INFLOW_START,INFLOW_END,DATA_SOURCE.1,OUTFLOW,OUTFLOW_START,OUTFLOW_END,DATA_SOURCE.2,ELEVATION,ELEVATION_START,ELEVATION_END,DATA_SOURCE.3,EVAPORATION,EVAPORATION_START,EVAPORATION_END,DATA_SOURCE.4
868,1,10/1/77,5/5/20,BOR,1,10/1/87,5/5/20,BOR,1,3/27/86,5/5/20,BOR,1,3/27/86,5/5/20,BOR,0,NA,NA,NA
870,1,1/2/67,2/6/20,ACE_OMA,1,8/3/58,2/6/20,ACE_OMA,1,8/3/58,2/6/20,ACE_OMA,1,8/3/58,2/6/20,ACE_OMA,0,NA,NA,NA
872,1,10/1/51,5/5/20,BOR,1,4/1/52,5/5/20,BOR,1,10/1/51,5/5/20,BOR,1,10/1/51,5/5/20,BOR,0,NA,NA,NA
882,1,10/1/55,5/5/20,BOR ,1,8/22/56,5/5/20,BOR ,1,10/1/55,5/5/20,BOR ,1,10/1/55,5/5/20,BOR ,0,NA,NA,NA
884,1,1/2/67,2/6/20,ACE_OMA,1,8/1/63,2/6/20,ACE_OMA,1,8/1/63,2/6/20,ACE_OMA,1,8/1/63,2/6/20,ACE_OMA,0,NA,NA,NA
885,1,10/1/52,5/5/20,BOR,1,4/1/53,5/5/20,BOR,1,10/1/52,5/5/20,BOR,1,10/1/52,5/5/20,BOR,0,NA,NA,NA
893,1,10/1/51,5/5/20,BOR,1,4/1/52,5/5/20,BOR,1,10/1/51,5/5/20,BOR,1,10/1/51,5/5/20,BOR,0,NA,NA,NA
895,1,1/2/67,2/6/20,ACE_OMA,1,8/1/55,2/6/20,ACE_OMA,1,8/1/55,2/6/20,ACE_OMA,1,8/1/55,2/6/20,ACE_OMA,0,NA,NA,NA
897,1,5/31/93,5/5/20,BOR,0,NA,NA,NA,1,5/31/93,5/5/20,BOR,1,5/31/93,5/5/20,BOR,0,NA,NA,NA
898,1,10/17/57,5/5/20,BOR,1,10/17/57,5/5/20,BOR,1,10/17/57,5/5/20,BOR,1,10/17/57,5/5/20,BOR,0,NA,NA,NA
899,1,10/31/91,5/5/20,BOR,0,NA,NA,NA,1,8/31/93,5/5/20,BOR,1,10/31/91,5/5/20,BOR,0,NA,NA,NA
901,1,2/26/10,5/5/20,BOR,0,NA,NA,NA,0,NA,NA,NA,1,9/10/99,5/5/20,BOR,0,NA,NA,NA
903,1,9/30/90,5/5/20,BOR ,1,10/1/90,5/5/20,BOR ,1,10/1/90,5/5/20,BOR,1,4/21/90,5/5/20,BOR ,0,NA,NA,NA
904,1,9/30/90,5/5/20,BOR,1,10/1/90,5/5/20,BOR,0,NA,NA,NA,1,4/20/90,5/5/20,BOR,0,NA,NA,NA
905,1,5/31/93,5/5/20,BOR,0,NA,NA,NA,1,5/31/93,5/5/20,BOR,1,5/31/93,5/5/20,BOR,0,NA,NA,NA
907,1,1/1/58,12/31/20,ACE_ROCK,0,NA,NA,NA,1,10/1/92,12/31/20,usgs_5453520,1,1/1/58,12/31/20,ACE_ROCK,0,NA,NA,NA
908,1,1/28/85,9/30/16,WSE,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
910,1,1/31/93,5/5/20,BOR,0,NA,NA,NA,0,NA,NA,NA,1,1/31/93,5/5/20,BOR,0,NA,NA,NA
911,1,3/20/69,12/31/20,ACE_ROCK,0,NA,NA,NA,1,10/1/92,12/31/20,usgs_5488110,1,3/20/69,12/31/20,ACE_ROCK,0,NA,NA,NA
913,1,2/9/41,7/21/20,CNPPID,1,1/1/42,7/21/20,CNPPID,1,1869-01-01,7/21/20,CNPPID,1,2/9/41,7/21/20,CNPPID,0,NA,NA,NA
919,1,4/1/69,5/26/20,ACE_OMA,1,4/2/69,5/26/20,ACE_OMA,1,7/10/69,5/26/20,ACE_OMA,1,4/1/69,5/26/20,ACE_OMA,0,NA,NA,NA
920,1,1/1/42,7/21/20,CNPPID,1,10/1/40,7/21/20,CNPPID,1,10/1/40,7/21/20,CNPPID,1,1/1/42,7/21/20,CNPPID,0,NA,NA,NA
924,1,9/28/67,12/31/20,ACE_KAN,0,NA,NA,NA,1,8/2/79,12/31/20,usgs_6904010,1,9/28/67,12/31/20,ACE_KAN,0,NA,NA,NA
929,1,1/1/42,7/21/20,CNPPID,1,1/1/64,7/21/20,CNPPID,1,1/1/64,7/21/20,CNPPID,1,1/1/42,7/21/20,CNPPID,0,NA,NA,NA
931,1,3/21/78,7/21/20,CNPPID,1,6/1/98,7/21/20,CNPPID,1,6/1/98,7/21/20,CNPPID,1,3/21/78,7/21/20,CNPPID,0,NA,NA,NA
936,1,10/1/51,12/31/18,BOR,1,10/1/51,12/31/18,BOR,1,10/23/50,12/31/18,BOR,1,10/1/51,12/31/18,BOR,0,NA,NA,NA
938,1,12/4/49,12/31/18,BOR,1,10/2/49,12/31/18,BOR,1,8/8/49,12/31/18,BOR,1,8/8/49,12/31/18,BOR,0,NA,NA,NA
939,1,10/1/62,12/31/18,BOR,1,10/2/62,12/31/18,BOR,1,10/1/62,12/31/18,BOR,1,10/1/62,12/31/18,BOR,0,NA,NA,NA
947,1,1/1/10,12/31/18,BOR,1,1/1/10,12/31/18,BOR,1,1/1/10,12/31/18,BOR,0,NA,NA,BOR,0,NA,NA,NA
948,1,11/14/52,12/31/20,ACE_OMA,1,10/2/92,12/31/20,BOR,1,10/1/86,12/31/20,BOR,1,11/14/52,12/31/20,BOR,0,NA,NA,NA
