ID,date,cars,upstream,abs_difference
1654,2008-06-07,375.166,424.908,49.74200000000002
1654,1993-08-18,244.18895833333335,206.585,37.60395833333334
1655,1982-11-03,799.3117916666667,1009.657,210.3452083333333
1655,1982-11-04,210.3452083333333,0.0,210.3452083333333
1655,2008-06-04,302.8068333333333,356.296,53.48916666666668
1656,2013-12-23,153.11575,68.767,84.34875
1656,1989-05-26,354.21754166666665,434.854,80.63645833333334
1656,2018-04-03,391.6635,463.758,72.09449999999998
168,2015-08-03,15.856180555555556,34310.532,34294.67581944444
168,2015-11-13,21.659666666666663,22178.454,22156.794333333335
168,2015-12-06,18.261111111111113,20336.106,20317.84488888889
1683,1990-12-18,283.25024999999994,353.479,70.22875000000005
1683,1982-11-25,69.048,0.368,68.68
1683,1982-11-24,261.38741666666664,330.032,68.64458333333334
169,1994-11-07,3.581916666666667,-283.14,286.72191666666663
169,1994-11-11,2.888333333333333,-283.14,286.0283333333333
169,1994-11-08,3.199666666666667,-140.225,143.42466666666667
1691,1994-01-09,82.51991666666666,27.892,54.627916666666664
1691,1996-07-31,278.7176666666667,330.967,52.24933333333331
1691,1996-08-01,94.00199999999998,46.609,47.39299999999998
1699,1994-02-09,596.9048333333333,746.034,149.12916666666672
1699,1996-07-31,688.462,818.809,130.34699999999998
1699,1985-11-04,398.5770416666666,501.491,102.91395833333337
1703,1990-06-07,469.5912916666667,584.699,115.10770833333328
1703,1990-06-08,154.1217916666667,40.812,113.3097916666667
1703,2017-04-29,496.1063333333333,588.189,92.08266666666668
1706,1990-12-30,222.998375,270.199,47.200625
1706,1994-01-28,204.70841666666664,246.753,42.04458333333335
1706,2011-02-28,175.80937500000002,216.68,40.87062499999999
1707,1985-02-01,138.08958333333334,32.055,106.03458333333333
1707,1997-03-01,395.48225,498.461,102.97874999999999
1707,1985-01-31,439.670375,541.021,101.35062499999998
1709,2016-06-23,1184.9778333333334,1385.711,200.73316666666665
1709,2003-11-19,696.4943333333333,863.776,167.28166666666664
1709,2001-07-29,1034.1815,1193.808,159.62650000000008
1712,1997-03-01,139.48425,175.573,36.088750000000005
1712,2003-11-19,136.97333333333333,171.58,34.60666666666668
1712,1994-01-07,123.77641666666666,151.396,27.619583333333324
1713,2017-04-27,127.043,5.21,121.83300000000001
1713,2017-04-26,640.2518333333333,736.208,95.95616666666672
1713,2007-01-12,92.43875000000004,10.845,81.59375000000004
1714,1997-03-01,647.951625,785.381,137.42937499999994
1714,2002-03-20,740.502625,860.647,120.14437500000008
1714,2003-02-16,770.6713333333332,880.688,110.01666666666677
1716,1995-05-18,1539.05325,1805.762,266.70875
1716,1995-05-19,792.7168333333333,526.126,266.5908333333333
1716,1996-04-30,444.6448333333334,196.519,248.1258333333334
1718,1997-03-01,902.6434583333332,1135.822,233.17854166666666
1718,2015-04-03,714.6361666666667,846.432,131.79583333333335
1718,2008-04-04,676.9445000000001,797.974,121.02949999999998
1723,1993-08-05,228.74000000000004,274.483,45.74299999999997
1723,1993-08-06,49.64799999999997,4.681,44.96699999999997
1723,2003-02-17,86.341625,52.171,34.170624999999994
1726,2009-05-09,250.60350000000005,293.56,42.95649999999995
1726,2014-08-29,176.145,210.904,34.758999999999986
1726,2014-08-30,37.840666666666664,3.228,34.61266666666666
173,1996-12-27,26.902666666666665,-283.14,310.04266666666666
173,1997-01-12,6.004166666666667,-283.14,289.14416666666665
173,1996-12-26,22.125666666666664,-137.775,159.90066666666667
1733,2017-09-23,400.4655,2.152,398.31350000000003
1733,2017-09-22,2233.8836666666666,2392.033,158.1493333333333
1733,2014-10-25,151.93400000000008,8.552,143.3820000000001
1735,2004-05-23,584.5908333333334,675.922,91.3311666666666
1735,2004-05-24,222.59366666666665,131.928,90.66566666666665
1735,2016-06-10,197.94833333333332,113.55,84.39833333333333
1739,2003-02-16,566.9569166666666,672.319,105.36208333333332
1739,2003-02-17,280.208875,177.022,103.18687499999999
1739,2002-03-18,445.36654166666665,543.173,97.80645833333335
