ID,source,start,window,n_days,top10_inflow_share
1709,upstream,2000,early,3652,0.037138007720518194
1709,upstream,2000,late,2906,0.04666429644289782
1712,cars,1980,early,3653,0.0462430475598169
1712,cars,1980,late,3652,0.05272776716230997
1712,cars,2000,early,3651,0.07247071495224582
1712,cars,2000,late,2884,0.06480088126522975
1712,upstream,1980,early,3652,0.05251997534221312
1712,upstream,1980,late,3652,0.05992862315438076
1712,upstream,2000,early,3649,0.08347685554019997
1712,upstream,2000,late,2861,0.07352689295718462
1713,cars,2000,early,3653,0.07841338495095747
1713,cars,2000,late,2893,0.07889360793960383
1713,upstream,2000,early,3652,0.08835442919937368
1713,upstream,2000,late,2881,0.09012936667288661
1714,cars,2000,early,3653,0.05415419144724396
1714,cars,2000,late,3652,0.038217020251402015
1714,upstream,2000,early,3653,0.05775538654813101
1714,upstream,2000,late,3652,0.042119505795790955
1718,cars,2000,early,3653,0.07330567440495296
1718,cars,2000,late,3652,0.07529161954898893
1718,upstream,2000,early,3653,0.08623118768838939
1718,upstream,2000,late,3652,0.08568280414827259
1723,cars,2000,early,3653,0.06414237251697949
1723,cars,2000,late,2876,0.04517722169179794
1723,upstream,2000,early,3651,0.07311224795132183
1723,upstream,2000,late,2855,0.051669808910410335
1726,cars,1980,early,3653,0.06198485549799872
1726,cars,1980,late,3652,0.0574514444409499
1726,cars,2000,early,3653,0.06784847058472912
1726,cars,2000,late,2916,0.05718509161970376
1726,upstream,1980,early,3652,0.06693277730630835
1726,upstream,1980,late,3651,0.06049867940153103
1726,upstream,2000,early,3652,0.07201040683926173
1726,upstream,2000,late,2909,0.06329356071287427
1733,cars,1980,early,3287,0.05368127889431423
1733,cars,1980,late,3652,0.0399814326709016
1733,upstream,1980,early,3287,0.056261693443476424
1733,upstream,1980,late,3651,0.045320004170800336
1735,cars,1980,early,3632,0.05101223830234067
1735,cars,1980,late,3652,0.04806154760251741
1735,cars,2000,early,2922,0.0539574362734092
1735,cars,2000,late,2908,0.05397443376546904
1735,upstream,2000,early,2920,0.05891275501524211
1735,upstream,2000,late,2896,0.05920441126776195
1739,cars,2000,early,3653,0.07216916844933553
1739,cars,2000,late,3652,0.0487319781818174
1739,upstream,2000,early,3653,0.0836012165596006
1739,upstream,2000,late,3652,0.05495787050501124
1740,cars,2000,early,3653,0.03192639796240871
1740,cars,2000,late,3652,0.04248980339501794
1740,upstream,2000,early,3653,0.033791530906375336
1740,upstream,2000,late,3652,0.04430885618282644
