scenario,task,model,ID,MAIN_BAS,fold,n_train,observed,predicted,group,absolute_error
cars,US,persistence,895,7060047060,0,45,0.0120090254829435,0.0169548268229743,Common cohort,0.004945801340030798
cars,US,persistence,898,7060047060,0,45,0.4809622045609584,0.7808173582640034,Common cohort,0.29985515370304505
cars,US,persistence,920,7060047060,0,45,0.0097027172892241,0.0464111475993573,Common cohort,0.0367084303101332
cars,US,persistence,931,7060047060,0,45,1.2052396392304092,0.9465393297640908,Common cohort,0.2587003094663184
cars,US,persistence,938,7060047060,0,45,0.3968494669462763,0.8634668302365714,Common cohort,0.46661736329029513
cars,US,persistence,939,7060047060,0,45,0.4656358493251691,1.0472790728315735,CARS-only,0.5816432235064044
cars,US,persistence,948,7060047060,0,45,0.5744564251171721,0.920617734924412,CARS-only,0.3461613098072399
cars,US,persistence,952,7060047060,0,45,0.6166240176032683,0.8211088482287083,CARS-only,0.20448483062543998
cars,US,persistence,956,7060047060,0,45,1.1283610390792411,0.9696378515559538,CARS-only,0.1587231875232873
cars,US,persistence,419,7060008710,1,128,0.4416205857741654,0.5123694735582704,Common cohort,0.07074888778410504
cars,US,persistence,423,7060008710,1,128,0.2609668929402653,0.3281289426471836,Common cohort,0.0671620497069183
cars,US,persistence,445,7060008710,1,128,0.2241508369144445,0.2565192805368019,Common cohort,0.032368443622357385
cars,US,persistence,448,7060008710,1,128,0.2242741407973743,0.2317178905334348,Common cohort,0.007443749736060518
cars,US,persistence,451,7060008710,1,128,0.2142445264803189,0.129798748775941,Common cohort,0.08444577770437789
cars,US,persistence,469,7060008710,1,128,0.4636592811147587,0.4514458862548698,Common cohort,0.01221339485988887
cars,US,persistence,470,7060008710,1,128,0.309992589825748,0.2951550807046913,Common cohort,0.014837509121056691
cars,US,persistence,471,7060008710,1,128,0.4998953490670137,0.552258455356849,CARS-only,0.052363106289835315
cars,US,persistence,473,7060008710,1,128,0.6126285989726578,0.6419219353079901,CARS-only,0.029293336335332376
cars,US,persistence,488,7060008710,1,128,0.2871536416436151,0.3940022152372216,Common cohort,0.1068485735936065
cars,US,persistence,492,7060008710,1,128,0.4407826505245222,0.4454325172037523,CARS-only,0.004649866679230119
cars,US,persistence,493,7060008710,1,128,0.3787147304064105,0.4983734540480982,CARS-only,0.11965872364168767
cars,US,persistence,497,7060008710,1,128,0.2485978849699834,0.3445191078284952,Common cohort,0.09592122285851182
cars,US,persistence,502,7060008710,1,128,0.3042369535372322,0.2273471959844123,Common cohort,0.07688975755281988
cars,US,persistence,506,7060008710,1,128,0.4850553440011199,0.4531972413705782,CARS-only,0.031858102630541674
cars,US,persistence,509,7060008710,1,128,0.0984713136044381,0.2271385713786674,Common cohort,0.12866725777422927
