source,ID,period,MAIN_BAS,flagged,early_start,early_end,late_start,late_end,early_nyears,late_nyears,mean_shift,season_shift,abs_shape_change,early_shape,early_ratio,early_low10,early_cv,early_zero_delta,early_mean_in,early_concentration,early_trend,early_month1,early_month2,early_month3,early_month4,early_month5,early_month6,early_month7,early_month8,early_month9,early_month10,early_month11,early_month12,late_shape,late_ratio,late_low10,late_cv,late_zero_delta,late_mean_in,late_concentration,late_trend,late_month1,late_month2,late_month3,late_month4,late_month5,late_month6,late_month7,late_month8,late_month9,late_month10,late_month11,late_month12
gap1,7308,test,7060043500.0,False,2000,2009,2010,2019,10,10,0.377567966404009,0.06971937030828544,0.03964396891620908,0.13826530043599297,0.9871391945769107,-0.16640222181740696,0.7300258646625151,0.17279513408902406,130.6917645839093,0.08557237146849779,0.2597765113862905,0.07327797952289619,0.0692729330052866,0.07674812648258511,0.0598334340332775,0.07614134913879535,0.09153543214951998,0.10631034761141223,0.09708257792950038,0.10485144274783101,0.08489606663082913,0.07676327735308454,0.08328703339498203,0.17790926935220205,0.9878877031837777,-0.2885818758843383,0.6178692483364033,0.16163556531284304,190.64433562019758,0.0864136982721842,0.17371269161534958,0.11199126984523292,0.07972742327542558,0.0636961739486851,0.06283211950361432,0.05784926310308761,0.0792888181089631,0.09992942516439487,0.09691188596271716,0.08939649991832035,0.0807739061760195,0.07851940846988338,0.09908380652365606
gap3,7308,test,7060043500.0,False,2000,2009,2010,2019,10,10,0.379647910867941,0.0715279400653277,0.0332030039608491,0.14460051379162792,0.9817999462510117,-0.16800194895570017,0.7298532045448982,0.1787571858746236,130.30682165343552,0.0857418575448748,0.2637051790511246,0.07328408530008212,0.06879287856187058,0.07621626970182764,0.059418794366290655,0.0756136972638707,0.09169680753443461,0.10762080587540089,0.09806713542568962,0.10531836241171824,0.0850299853320876,0.07623131557832162,0.08270986264840562,0.17780351775247702,0.9880819336003109,-0.2887437527760357,0.6182249911130794,0.16182913472070098,190.47857995618838,0.08639536319396085,0.17152321448349317,0.11184318597951784,0.07962200126299156,0.06379977145650886,0.06313131554175122,0.057921838382491035,0.07918397605556216,0.10040040321909285,0.09678374127137712,0.0892782926749558,0.08066710041971384,0.07841558379179955,0.09895278994423819
gap7,7308,test,7060043500.0,False,2000,2009,2010,2019,10,10,0.379647910867941,0.0715279400653277,0.0332030039608491,0.14460051379162792,0.9817999462510117,-0.16800194895570017,0.7298532045448982,0.1787571858746236,130.30682165343552,0.0857418575448748,0.2637051790511246,0.07328408530008212,0.06879287856187058,0.07621626970182764,0.059418794366290655,0.0756136972638707,0.09169680753443461,0.10762080587540089,0.09806713542568962,0.10531836241171824,0.0850299853320876,0.07623131557832162,0.08270986264840562,0.17780351775247702,0.9880819336003109,-0.2887437527760357,0.6182249911130794,0.16182913472070098,190.47857995618838,0.08639536319396085,0.17152321448349317,0.11184318597951784,0.07962200126299156,0.06379977145650886,0.06313131554175122,0.057921838382491035,0.07918397605556216,0.10040040321909285,0.09678374127137712,0.0892782926749558,0.08066710041971384,0.07841558379179955,0.09895278994423819
cars_common_dates,7308,test,7060043500.0,False,2000,2009,2010,2019,10,10,0.37346953312596703,0.07122056796959189,0.035721515687783145,0.10999399146181904,0.9912018117161008,-0.1488905154651826,0.6830984425716675,0.07193229901269393,131.95921136154888,0.08563601972576018,0.24627624795169073,0.07230029274423201,0.06964293981868715,0.07751524747245647,0.059513168432341966,0.07573268946092253,0.09176843194643859,0.10681138096289454,0.09760867583302464,0.10490634556193014,0.08449731577159111,0.07690524270924153,0.08279826928623939,0.14571550714960219,0.9899483240069523,-0.24512585135633494,0.5767375679085736,0.07087270705947749,191.70589545458358,0.08640801296740203,0.17853399617855142,0.11187873879386377,0.079799225709707,0.06415842385913102,0.06285612928172235,0.05751941166366847,0.0791500570621853,0.09957029673391284,0.09683204298131963,0.08958468867209574,0.08080459806735307,0.07837148781423954,0.09947489936080114
raw_common_dates,7308,test,7060043500.0,False,2000,2009,2010,2019,10,10,0.37293232061161585,0.07133483914571047,0.04139801343247762,0.13151636261207936,0.992567489894455,-0.16574041015217614,0.7244383152273273,0.16361071932299012,131.9666095909732,0.08564364425851767,0.2454365716904408,0.07228845303221987,0.06976747725459492,0.0774053434053373,0.05940519667847508,0.07590925396948991,0.09182165627565861,0.10692329230924338,0.09741208396582243,0.10504764368195706,0.08432852049972865,0.07685428081456114,0.08283679811291153,0.17291437604455698,0.9906784950666534,-0.28729942690079663,0.6153003192873013,0.1556420233463035,191.61367843246248,0.08642448625403253,0.17835045729535123,0.11181308555639577,0.07981914346530714,0.06377759185661132,0.06282678497416433,0.05759617730700225,0.07924572298015181,0.09957925216964722,0.09693328587259648,0.0895443697464767,0.08083655502904107,0.07835071323788091,0.09967731780472483
gap1_common_dates,7308,test,7060043500.0,False,2000,2009,2010,2019,10,10,0.37293232061161585,0.07133483914571047,0.04139801343247762,0.13151636261207936,0.992567489894455,-0.16574041015217614,0.7244383152273273,0.16361071932299012,131.9666095909732,0.08564364425851767,0.2454365716904408,0.07228845303221987,0.06976747725459492,0.0774053434053373,0.05940519667847508,0.07590925396948991,0.09182165627565861,0.10692329230924338,0.09741208396582243,0.10504764368195706,0.08432852049972865,0.07685428081456114,0.08283679811291153,0.17291437604455698,0.9906784950666534,-0.28729942690079663,0.6153003192873013,0.1556420233463035,191.61367843246248,0.08642448625403253,0.17835045729535123,0.11181308555639577,0.07981914346530714,0.06377759185661132,0.06282678497416433,0.05759617730700225,0.07924572298015181,0.09957925216964722,0.09693328587259648,0.0895443697464767,0.08083655502904107,0.07835071323788091,0.09967731780472483
gap3_common_dates,7308,test,7060043500.0,False,2000,2009,2010,2019,10,10,0.37293232061161585,0.07133483914571047,0.04139801343247762,0.13151636261207936,0.992567489894455,-0.16574041015217614,0.7244383152273273,0.16361071932299012,131.9666095909732,0.08564364425851767,0.2454365716904408,0.07228845303221987,0.06976747725459492,0.0774053434053373,0.05940519667847508,0.07590925396948991,0.09182165627565861,0.10692329230924338,0.09741208396582243,0.10504764368195706,0.08432852049972865,0.07685428081456114,0.08283679811291153,0.17291437604455698,0.9906784950666534,-0.28729942690079663,0.6153003192873013,0.1556420233463035,191.61367843246248,0.08642448625403253,0.17835045729535123,0.11181308555639577,0.07981914346530714,0.06377759185661132,0.06282678497416433,0.05759617730700225,0.07924572298015181,0.09957925216964722,0.09693328587259648,0.0895443697464767,0.08083655502904107,0.07835071323788091,0.09967731780472483
gap7_common_dates,7308,test,7060043500.0,False,2000,2009,2010,2019,10,10,0.37293232061161585,0.07133483914571047,0.04139801343247762,0.13151636261207936,0.992567489894455,-0.16574041015217614,0.7244383152273273,0.16361071932299012,131.9666095909732,0.08564364425851767,0.2454365716904408,0.07228845303221987,0.06976747725459492,0.0774053434053373,0.05940519667847508,0.07590925396948991,0.09182165627565861,0.10692329230924338,0.09741208396582243,0.10504764368195706,0.08432852049972865,0.07685428081456114,0.08283679811291153,0.17291437604455698,0.9906784950666534,-0.28729942690079663,0.6153003192873013,0.1556420233463035,191.61367843246248,0.08642448625403253,0.17835045729535123,0.11181308555639577,0.07981914346530714,0.06377759185661132,0.06282678497416433,0.05759617730700225,0.07924572298015181,0.09957925216964722,0.09693328587259648,0.0895443697464767,0.08083655502904107,0.07835071323788091,0.09967731780472483
cars,7311,train,7060047060.0,False,1980,1989,1990,1999,10,10,0.012735690779385831,0.1418858335042366,0.015098903801406383,0.4474633442800421,0.9521401130346037,0.016163928005500705,4.056050710336622,-0.026006022447303587,14.349338019059182,0.10860876868729939,0.796990969587322,0.02862644468509673,0.07931822173980987,0.13420282754521623,0.12591593921231578,0.15497048871432542,0.1266549017950223,0.02656452696078425,0.02731498134227666,0.051776700624698795,0.12963113622049405,0.06092472168185423,0.054099109478105645,0.46256224808144847,0.9632334439154656,0.009770694580843843,3.1258380306277447,-0.1278751369112815,14.533255422639174,0.11100962859996791,0.18182359166190998,0.040452356944729144,0.06246672095559792,0.12148195437543721,0.14807137001474077,0.1495987192885748,0.1559628317476269,0.04461380785996899,0.0220731678785143,0.02612346649139346,0.05358449369306672,0.10567422652924297,0.06989688422110678
raw,7311,train,7060047060.0,False,1980,1989,1990,1999,10,10,0.012358320408035011,0.1448792770168725,0.0010801769098724434,0.49309985791664523,0.9517784720903376,0.015814673752158847,4.32873288534824,-0.02764850807555434,14.353758007117436,0.10804409749016908,0.7970552437938637,0.02828010714670277,0.08064768241874141,0.13467413435157816,0.12472289596511654,0.1557975300050856,0.12532879731842592,0.026664351133050785,0.027017307266059807,0.05540402406227467,0.12595899575464736,0.06094419761057833,0.054559976967738545,0.4941800348265177,0.9633889326388725,0.009771372597625637,3.3003294608813363,-0.13745892661555312,14.532246987951806,0.11090546549266526,0.18186497194666215,0.04077731274289986,0.0625437450112363,0.12168313750855775,0.1499521986888471,0.148134037974165,0.15514774842804363,0.0444646217350295,0.022027456180749666,0.026459304180682434,0.05377271598612339,0.10556017676140642,0.06947754480225889
gap1,7311,train,7060047060.0,False,1980,1989,1990,1999,10,10,0.012358320408035011,0.1448792770168725,0.0010801769098724434,0.49309985791664523,0.9517784720903376,0.015814673752158847,4.32873288534824,-0.02764850807555434,14.353758007117436,0.10804409749016908,0.7970552437938637,0.02828010714670277,0.08064768241874141,0.13467413435157816,0.12472289596511654,0.1557975300050856,0.12532879731842592,0.026664351133050785,0.027017307266059807,0.05540402406227467,0.12595899575464736,0.06094419761057833,0.054559976967738545,0.4941800348265177,0.9633889326388725,0.009771372597625637,3.3003294608813363,-0.13745892661555312,14.532246987951806,0.11090546549266526,0.18186497194666215,0.04077731274289986,0.0625437450112363,0.12168313750855775,0.1499521986888471,0.148134037974165,0.15514774842804363,0.0444646217350295,0.022027456180749666,0.026459304180682434,0.05377271598612339,0.10556017676140642,0.06947754480225889
